"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_00025",12685.4311102717,3.23640390094903,0.0722294983400932,44.8072321603342,0,0
"IBPFAHIO_00047",11640.1868541679,2.28415342501254,0.055787845232009,40.9435678240172,0,0
"IBPFAHIO_00049",6582.72426905901,2.44898521139384,0.0634840968313679,38.5763574442754,0,0
"IBPFAHIO_00098",4787.43873759245,-2.80991568891126,0.0707048339513449,-39.7414933587835,0,0
"IBPFAHIO_00099",12640.1636575476,3.74005991593618,0.0551483865180883,67.818120385253,0,0
"IBPFAHIO_00122",199157.334298392,3.01004015842323,0.0546993202499338,55.028840297643,0,0
"IBPFAHIO_00127",93281.4824716925,-2.77955909369968,0.0588261715896315,-47.2503822463537,0,0
"IBPFAHIO_00128",114513.306113814,-2.25066668625514,0.0555480378869162,-40.5174830988093,0,0
"IBPFAHIO_00143",8614.21810502208,2.52509553026813,0.0645582876400764,39.113421724349,0,0
"IBPFAHIO_00147",12287.1681352285,2.57611660562547,0.0589266521636915,43.7173420011934,0,0
"IBPFAHIO_00148",10362.0106641106,3.05804844442431,0.062188098055407,49.1741754459143,0,0
"IBPFAHIO_00157",13740.3717615893,-2.23053547551992,0.0558093689465483,-39.9670434843337,0,0
"IBPFAHIO_00189",90618.8576496043,-2.22730789102487,0.048479976795168,-45.9428415247687,0,0
"IBPFAHIO_00192",14405.8207762275,2.86765457252614,0.064017512123611,44.7948456195705,0,0
"IBPFAHIO_00193",3173.96612991182,4.95961040704129,0.0911337141040374,54.4212474582068,0,0
"IBPFAHIO_00195",18689.088611379,-5.40798880777202,0.0651489988723497,-83.009545831521,0,0
"IBPFAHIO_00196",33700.3992000119,-6.01126324279398,0.104704822428287,-57.4115222525796,0,0
"IBPFAHIO_00197",30175.1380877543,-5.62165468431445,0.0585896352279225,-95.9496447186497,0,0
"IBPFAHIO_00205",10778.0436116593,-2.41449345658446,0.0573969704161808,-42.066566215554,0,0
"IBPFAHIO_00272",22434.2135705455,4.58020475609364,0.0740633592505964,61.8417096177926,0,0
"IBPFAHIO_00312",4298.39556703468,4.98197521959421,0.08457287957388,58.9074800893131,0,0
"IBPFAHIO_00313",3218.96972338649,4.33772269270256,0.0779501429112181,55.6473988462477,0,0
"IBPFAHIO_00314",10831.8348684153,7.11132888493806,0.089460437571741,79.4913268698834,0,0
